GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,490137,2431852,google.com,com,1,1,488939,2420638
2,2,facebook.com,com,487580,2565751,facebook.com,com,2,2,486576,2554712
3,3,youtube.com,com,440339,2087102,youtube.com,com,3,3,439298,2077828
4,4,twitter.com,com,433236,2064853,twitter.com,com,4,4,432177,2056605
5,5,instagram.com,com,367951,1701231,instagram.com,com,5,5,367395,1695766
6,6,linkedin.com,com,345811,1433988,linkedin.com,com,6,6,344914,1428587
7,7,apple.com,com,283450,922397,apple.com,com,7,7,282126,919099
8,8,microsoft.com,com,282929,838767,microsoft.com,com,8,8,281749,836184
9,1,wikipedia.org,org,270738,975059,wikipedia.org,org,9,1,270147,972466
10,2,wordpress.org,org,256420,1077065,wordpress.org,org,10,2,256683,1077331
11,9,googletagmanager.com,com,253991,863921,googletagmanager.com,com,11,9,253056,861232
12,1,youtu.be,be,236962,793138,youtu.be,be,12,1,236254,791239
13,3,en.wikipedia.org,org,226336,728758,en.wikipedia.org,org,13,3,225808,727358
14,10,pinterest.com,com,218056,861123,pinterest.com,com,14,10,218059,860932
15,11,play.google.com,com,215642,613329,play.google.com,com,15,11,214689,612071
16,12,vimeo.com,com,208402,735706,vimeo.com,com,16,12,208045,734301
17,13,github.com,com,207990,531993,github.com,com,17,13,206903,530417
18,14,maps.google.com,com,202032,706199,maps.google.com,com,18,14,201501,704849
19,15,plus.google.com,com,201356,732584,plus.google.com,com,19,15,201182,731994
20,1,goo.gl,gl,198353,646085,goo.gl,gl,20,1,198009,644756
21,1,bit.ly,ly,190101,574319,bit.ly,ly,21,1,189480,573672
22,16,adobe.com,com,187928,525755,adobe.com,com,22,16,187326,525012
23,17,docs.google.com,com,183235,539473,docs.google.com,com,24,18,182830,538977
24,18,wordpress.com,com,183107,585199,wordpress.com,com,23,17,182968,584667
25,19,blogspot.com,com,174804,548098,blogspot.com,com,25,19,174599,547901
26,20,amazon.com,com,173041,516389,amazon.com,com,26,20,172368,516148
27,21,player.vimeo.com,com,172560,574287,player.vimeo.com,com,27,21,172323,573464
28,22,itunes.apple.com,com,172216,439685,itunes.apple.com,com,28,22,171572,439630
29,4,mozilla.org,org,162605,459642,mozilla.org,org,29,4,163000,461377
30,23,macromedia.com,com,162152,485477,macromedia.com,com,30,23,161943,485331
31,24,apps.apple.com,com,153906,367511,apps.apple.com,com,31,24,153033,366789
32,25,drive.google.com,com,151954,417506,drive.google.com,com,32,25,151595,417340
33,26,yahoo.com,com,148267,390669,yahoo.com,com,33,26,147984,390879
34,27,whatsapp.com,com,141894,494116,whatsapp.com,com,34,27,141973,494111
35,28,tumblr.com,com,141076,450803,tumblr.com,com,36,29,141113,450819
36,1,europa.eu,eu,139142,443145,europa.eu,eu,37,1,138332,441377
37,29,flickr.com,com,127689,358908,flickr.com,com,38,30,127676,358896
38,30,api.whatsapp.com,com,125783,431701,api.whatsapp.com,com,39,31,125933,431803
39,31,gravatar.com,com,124611,422743,gravatar.com,com,40,32,124618,422295
40,32,reddit.com,com,124520,377851,reddit.com,com,41,33,124544,377881
41,1,nih.gov,gov,123258,324644,nih.gov,gov,42,1,122906,324627
42,33,qq.com,com,122079,740808,qq.com,com,43,34,122020,738763
43,34,nytimes.com,com,121511,328384,nytimes.com,com,44,35,121122,328521
44,5,apache.org,org,120500,233128,apache.org,org,45,5,120194,232757
45,35,amazonaws.com,com,119693,271903,amazonaws.com,com,46,36,119157,272161
46,36,sites.google.com,com,117420,286631,sites.google.com,com,47,37,117016,286295
47,1,github.io,io,116256,253646,github.io,io,49,1,115925,253661
48,37,policies.google.com,com,116106,376906,policies.google.com,com,48,38,115945,377279
49,38,soundcloud.com,com,114152,330757,soundcloud.com,com,50,39,113914,330660
50,6,w3.org,org,112113,238305,w3.org,org,51,6,111717,237901
51,1,t.co,co,111080,314666,t.co,co,52,1,110820,314731
52,39,medium.com,com,110876,275367,medium.com,com,53,40,110548,275724
53,40,support.apple.com,com,110747,308843,support.apple.com,com,54,41,110233,308455
54,41,forbes.com,com,110316,279897,forbes.com,com,55,42,109816,280077
55,1,zoom.us,us,107738,256161,zoom.us,us,58,1,107378,256196
56,1,forms.gle,gle,107112,259743,forms.gle,gle,59,1,106890,259779
57,1,miit.gov.cn,cn,106439,801023,miit.gov.cn,cn,60,1,106703,800547
58,42,spotify.com,com,105319,294325,spotify.com,com,61,44,105024,294618
59,2,www.ncbi.nlm.nih.gov,gov,104590,262296,www.ncbi.nlm.nih.gov,gov,63,2,104169,262262
60,43,baidu.com,com,104588,553554,baidu.com,com,62,45,104548,552401
61,44,theguardian.com,com,103927,270371,theguardian.com,com,64,46,103479,270149
62,7,archive.org,org,103544,261452,archive.org,org,65,7,103224,261039
63,1,sourceforge.net,net,103390,209193,sourceforge.net,net,66,1,103087,208700
64,8,creativecommons.org,org,102616,238800,creativecommons.org,org,67,8,102463,238492
65,45,cnn.com,com,101093,253252,cnn.com,com,68,47,100780,253391
66,2,beian.miit.gov.cn,cn,100367,705153,beian.miit.gov.cn,cn,69,2,100615,704588
67,1,t.me,me,99682,294558,t.me,me,70,1,99640,294325
68,46,dropbox.com,com,99105,236076,dropbox.com,com,71,48,98787,235727
69,1,who.int,int,97564,224114,who.int,int,72,1,97257,224179
70,47,wixsite.com,com,97327,242147,wixsite.com,com,73,49,97134,242210
71,48,open.spotify.com,com,95786,262064,open.spotify.com,com,-1,-1,-1,-1
72,49,tools.google.com,com,95504,297437,tools.google.com,com,-1,-1,-1,-1
73,1,bbc.co.uk,uk,95479,240626,bbc.co.uk,uk,74,1,95256,240614
74,50,paypal.com,com,94972,264234,paypal.com,com,75,50,94823,263566
75,2,wa.me,me,93686,296125,wa.me,me,78,2,93664,296003
76,51,issuu.com,com,92324,219820,issuu.com,com,79,53,92222,219722
77,52,cloudflare.com,com,92280,269533,cloudflare.com,com,76,51,94100,275777
78,53,weebly.com,com,91731,221016,weebly.com,com,80,54,91664,221290
79,54,l.facebook.com,com,91212,241582,l.facebook.com,com,81,55,91196,241402
80,3,cdc.gov,gov,90822,225737,cdc.gov,gov,82,3,90645,225995
81,55,bbc.com,com,90073,220179,bbc.com,com,83,56,89862,220591
82,9,httpd.apache.org,org,89760,163997,httpd.apache.org,org,84,9,89590,163589
83,56,sciencedirect.com,com,89573,209256,sciencedirect.com,com,85,57,89407,209456
84,57,office.com,com,89496,193322,office.com,com,86,58,89020,192802
85,58,vk.com,com,88821,288951,vk.com,com,77,52,93877,305941
86,59,tinyurl.com,com,88564,206745,tinyurl.com,com,87,59,88300,206551
87,60,reuters.com,com,87161,205596,reuters.com,com,88,60,86816,205647
88,61,opera.com,com,86248,219201,opera.com,com,89,61,86152,219202
89,62,washingtonpost.com,com,85942,211178,washingtonpost.com,com,90,62,85742,211406
90,63,oracle.com,com,85899,160018,oracle.com,com,94,64,84555,156992
91,10,nginx.org,org,85577,172057,nginx.org,org,91,10,85427,171728
92,11,web.archive.org,org,85391,201934,web.archive.org,org,92,11,85072,201653
93,64,youtube-nocookie.com,com,85170,211059,youtube-nocookie.com,com,93,63,84779,210754
94,65,accounts.google.com,com,84548,184372,accounts.google.com,com,96,66,83876,182194
95,66,bloomberg.com,com,84233,194064,bloomberg.com,com,95,65,83905,194129
96,1,harvard.edu,edu,83910,191437,harvard.edu,edu,98,1,83655,191436
97,2,php.net,net,83864,163761,php.net,net,97,2,83676,163338
98,67,imdb.com,com,83696,213722,imdb.com,com,99,67,83578,213793
99,68,wsj.com,com,82702,194125,wsj.com,com,100,68,82404,194334
100,69,tiktok.com,com,82675,212342,tiktok.com,com,101,69,82364,212271
101,2,mit.edu,edu,82237,171905,mit.edu,edu,102,2,81915,171898
102,12,wikimedia.org,org,82108,193092,wikimedia.org,org,103,12,81914,193124
103,70,nginx.com,com,81835,164251,nginx.com,com,104,70,81711,163905
104,13,doi.org,org,81113,179023,doi.org,org,106,13,80821,178867
105,71,live.com,com,81080,178965,live.com,com,107,72,80238,177156
106,72,weibo.com,com,80864,263641,weibo.com,com,105,71,80842,263202
107,73,wiley.com,com,80399,177627,wiley.com,com,108,73,80178,177675
108,74,businessinsider.com,com,80175,188794,businessinsider.com,com,110,75,79761,188884
109,14,gnu.org,org,80048,155373,gnu.org,org,111,14,79462,153893
110,75,bing.com,com,80030,177463,bing.com,com,109,74,79837,177355
111,76,msn.com,com,79687,178135,msn.com,com,112,76,79451,178165
